          name,      time,      CPUs,       IPC,       GHz
       q1 hyper     ,    22.418,     6.248,     2.778,    10.255,
       q1 vectorwise,    32.418,     7.260,     2.284,    11.888,
       q3 hyper     ,    24.785,     4.816,     1.484,     7.701,
       q3 vectorwise,    20.112,     6.383,     2.235,     9.785,
       q5 hyper     ,    39.572,     3.346,     2.166,     5.440,
       q5 vectorwise,    24.372,     5.022,     2.404,     7.744,
       q6 hyper     ,     7.208,     3.986,     1.743,     6.389,
       q6 vectorwise,    10.055,     5.021,     2.762,     8.395,
       q9 hyper     ,    46.833,     6.374,     1.206,     9.871,
       q9 vectorwise,    56.938,     6.392,     2.238,     9.874,
      q18 hyper     ,    55.832,     5.307,     1.966,     7.736,
      q18 vectorwise,    84.832,     6.064,     2.317,     9.238,
       q11 hyper    ,     8.093,     3.796,     2.479,     7.361,
      q11 vectorwise,    10.063,     4.026,     2.863,     7.469,
       q10 hyper    ,    32.028,     3.202,     1.719,     5.892,
      q10 vectorwise,    32.334,     3.181,     2.619,     6.100,
      q12 hyper     ,    55.977,     5.420,     1.124,     9.498,
      q12 vectorwise,    79.494,     4.678,     2.069,     7.677,
      q13 hyper     ,    60.925,     4.786,     2.090,     8.231,
      q13 vectorwise,   100.152,     3.968,     3.136,     6.386,
