=== Job info ===
Job ID:   3161296
Node:     adroit-16
Start:    2026-04-29T01:55:44-04:00
Project:  /scratch/network/hp6068/db-engine-paradigms

=== CPU ===
Model name:                              Intel(R) Xeon(R) Gold 6142 CPU @ 2.60GHz
Thread(s) per core:                      1
Core(s) per socket:                      16
Socket(s):                               2
CPU(s) scaling MHz:                      88%
CPU max MHz:                             3700.0000
CPU min MHz:                             1000.0000

=== NUMA ===
available: 2 nodes (0-1)
node 0 cpus: 0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30
node 0 size: 191440 MB
node 0 free: 18406 MB
node 1 cpus: 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31
node 1 size: 193482 MB
node 1 free: 128421 MB
node distances:
node     0    1 
   0:   10   21 
   1:   21   10 

=== Kernel ===
randomize_va_space: 2
================

############################################
### nrThreads=1
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,task-clock,
     q1.1 hyper     ,  1704.403,     1.000,     0.689,     3.240,  2004.008,    30.678,     0.311,     0.009,     0.332,    21.126,     0.689,     0.311,     0.689,     0.151,     8.263,     6.065,     9.468,
     q1.1 vectorwise,   631.316,     1.000,     1.957,     3.223,  5079.363,    11.305,     0.291,     0.042,     0.441,    22.122,     0.049,     0.292,     0.049,     2.240,     4.170,     3.449,     3.507,
     q1.2 hyper     ,   770.280,     1.000,     1.510,     3.232,  3595.493,    13.831,     0.252,     0.004,     0.230,    20.886,     0.204,     0.252,     0.204,     0.055,     8.751,     2.538,     4.279,
     q1.2 vectorwise,   540.906,     1.000,     2.026,     3.224,  5121.769,     9.687,     0.252,     0.078,     0.252,    19.626,     0.012,     0.252,     0.012,     2.151,     3.576,     3.524,     3.005,
     q1.3 hyper     ,   706.595,     1.000,     1.641,     3.233,  3894.396,    12.692,     0.250,     0.004,     0.228,    20.829,     0.172,     0.250,     0.172,     0.055,     8.709,     2.165,     3.925,
     q1.3 vectorwise,   532.394,     1.000,     2.037,     3.224,  5172.075,     9.535,     0.250,     0.078,     0.235,    19.424,     0.010,     0.251,     0.010,     2.123,     3.521,     3.440,     2.958,
     q2.1 hyper     ,  1963.465,     1.000,     0.960,     3.236,  1803.029,    35.088,     0.122,     0.030,     1.310,    33.691,     0.178,     0.320,     0.178,     0.093,    14.868,    13.466,    10.844,
     q2.1 vectorwise,  1414.434,     1.000,     1.602,     3.234,  2851.845,    25.263,     0.131,     0.041,     1.736,    40.461,     0.232,     0.365,     0.232,     1.802,     7.177,     6.139,     7.812,
     q2.2 hyper     ,   978.050,     1.000,     1.821,     3.236,  1123.103,    17.477,     0.077,     0.009,     0.956,    31.828,     0.072,     0.099,     0.072,     0.033,    14.270,     4.002,     5.402,
     q2.2 vectorwise,   812.935,     1.000,     2.456,     3.237,  1353.438,    14.534,     0.076,     0.011,     1.287,    35.689,     0.089,     0.100,     0.089,     1.320,     5.876,     2.586,     4.490,
     q2.3 hyper     ,   680.048,     1.000,     2.580,     3.236,  1149.152,    12.153,     0.067,     0.001,     0.127,    31.356,     0.053,     0.071,     0.053,     0.015,    14.121,     1.101,     3.756,
     q2.3 vectorwise,   607.220,     1.000,     3.149,     3.238,  1304.226,    10.859,     0.067,     0.001,     0.288,    34.199,     0.058,     0.072,     0.058,     1.133,     5.422,     0.915,     3.354,
     q3.1 hyper     ,  2443.186,     1.000,     1.016,     3.230,  3476.726,    43.607,     0.186,     0.039,     1.144,    44.305,     0.229,     0.769,     0.229,     1.448,    17.797,    14.964,    13.501,
     q3.1 vectorwise,  2440.048,     1.000,     1.487,     3.231,  3916.745,    43.562,     0.212,     0.054,     1.835,    64.767,     0.396,     0.865,     0.396,     4.039,    13.739,    10.966,    13.483,
     q3.2 hyper     ,  1045.046,     1.000,     1.803,     3.229,  2054.338,    18.649,     0.102,     0.008,     0.461,    33.622,     0.058,     0.194,     0.058,     1.023,    14.554,     4.224,     5.775,
     q3.2 vectorwise,   991.992,     1.000,     2.169,     3.233,  2233.634,    17.723,     0.102,     0.011,     0.743,    38.448,     0.087,     0.201,     0.087,     1.642,     6.643,     4.186,     5.482,
     q3.3 hyper     ,   684.738,     1.000,     2.666,     3.234,  1374.044,    12.237,     0.073,     0.002,     0.302,    32.625,     0.023,     0.085,     0.023,     1.007,    14.208,     0.944,     3.784,
     q3.3 vectorwise,   600.258,     1.000,     3.238,     3.236,  1556.707,    10.735,     0.071,     0.002,     0.539,    34.758,     0.032,     0.085,     0.032,     1.196,     5.580,     1.193,     3.317,
