=== Job info ===
Job ID:   3161296
Node:     adroit-16
Start:    2026-04-29T01:55:44-04:00
Project:  /scratch/network/hp6068/db-engine-paradigms

=== CPU ===
Model name:                              Intel(R) Xeon(R) Gold 6142 CPU @ 2.60GHz
Thread(s) per core:                      1
Core(s) per socket:                      16
Socket(s):                               2
CPU(s) scaling MHz:                      88%
CPU max MHz:                             3700.0000
CPU min MHz:                             1000.0000

=== NUMA ===
available: 2 nodes (0-1)
node 0 cpus: 0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30
node 0 size: 191440 MB
node 0 free: 18406 MB
node 1 cpus: 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31
node 1 size: 193482 MB
node 1 free: 128421 MB
node distances:
node     0    1 
   0:   10   21 
   1:   21   10 

=== Kernel ===
randomize_va_space: 2
================

############################################
### nrThreads=1
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,task-clock,
     q3.4 hyper     ,   634.670,     1.000,     2.876,     3.233,  1494.328,    11.338,     0.073,     0.002,     0.302,    32.615,     0.023,     0.086,     0.023,     1.006,    14.205,     0.893,     3.507,
     q3.4 vectorwise,   593.521,     1.000,     3.270,     3.236,  1579.588,    10.615,     0.072,     0.002,     0.535,    34.705,     0.032,     0.085,     0.032,     1.186,     5.563,     1.108,     3.280,
     q4.1 hyper     ,  3322.751,     1.000,     0.763,     3.224,  1990.875,    58.871,     0.268,     0.103,     1.800,    44.921,     0.369,     0.596,     0.369,     0.185,    19.868,    26.715,    18.260,
     q4.1 vectorwise,  2773.169,     1.000,     1.140,     3.223,  2666.993,    49.119,     0.278,     0.086,     2.678,    55.983,     0.615,     0.666,     0.615,     3.187,    11.441,    13.947,    15.240,
     q4.2 hyper     ,  3242.343,     1.000,     0.745,     3.224,  2013.942,    57.440,     0.229,     0.081,     1.737,    42.791,     0.368,     0.588,     0.368,     0.105,    20.582,    25.567,    17.818,
     q4.2 vectorwise,  2575.983,     1.000,     1.214,     3.221,  3026.695,    45.593,     0.242,     0.059,     2.752,    55.348,     0.583,     0.702,     0.583,     3.207,    11.220,    12.408,    14.156,
     q4.3 hyper     ,  1522.484,     1.000,     1.355,     3.229,  1350.123,    27.014,     0.127,     0.021,     0.622,    36.606,     0.161,     0.185,     0.161,     0.021,    18.519,     8.781,     8.367,
     q4.3 vectorwise,  1158.136,     1.000,     1.876,     3.228,  1791.899,    20.547,     0.125,     0.034,     1.093,    38.550,     0.209,     0.187,     0.209,     1.625,     6.670,     4.551,     6.365,

############################################
### nrThreads=16
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,task-clock,
     q1.1 hyper     ,   108.615,    16.001,     0.678,     3.230, 31532.441,    31.187,     0.311,     0.009,     0.333,    21.132,     0.689,     0.312,     0.689,     0.153,     8.264,     6.532,     9.655,
     q1.1 vectorwise,    44.552,    15.997,     1.762,     3.171, 73101.927,    12.559,     0.291,     0.044,     0.438,    22.128,     0.049,     0.296,     0.049,     2.242,     4.170,     4.369,     3.959,
     q1.2 hyper     ,    54.068,    16.001,     1.466,     2.963, 51289.874,    14.243,     0.252,     0.004,     0.230,    20.877,     0.204,     0.252,     0.204,     0.057,     8.756,     2.864,     4.806,
     q1.2 vectorwise,    39.887,    15.995,     1.785,     3.098, 70227.343,    10.982,     0.252,     0.086,     0.259,    19.601,     0.012,     0.255,     0.012,     2.146,     3.567,     4.530,     3.544,
     q1.3 hyper     ,    49.998,    16.001,     1.594,     2.949, 55080.860,    13.109,     0.250,     0.004,     0.229,    20.890,     0.173,     0.251,     0.173,     0.056,     8.707,     2.493,     4.444,
     q1.3 vectorwise,    39.058,    15.996,     1.812,     3.094, 71306.334,    10.739,     0.250,     0.085,     0.241,    19.454,     0.010,     0.254,     0.010,     2.124,     3.522,     4.396,     3.471,
     q2.1 hyper     ,   130.275,    15.746,     0.941,     3.158, 27775.056,    35.782,     0.122,     0.030,     1.310,    33.688,     0.177,     0.327,     0.177,     0.093,    14.862,    14.216,    11.329,
     q2.1 vectorwise,   100.774,    15.849,     1.525,     3.019, 40988.991,    26.631,     0.132,     0.041,     1.744,    40.618,     0.235,     0.374,     0.235,     1.815,     7.216,     6.920,     8.821,
     q2.2 hyper     ,    68.933,    15.649,     1.744,     3.060, 17616.765,    18.231,     0.077,     0.010,     0.955,    31.792,     0.072,     0.110,     0.072,     0.033,    14.271,     4.470,     5.958,
     q2.2 vectorwise,    59.484,    15.798,     2.299,     2.994, 19890.845,    15.541,     0.076,     0.011,     1.290,    35.726,     0.089,     0.107,     0.089,     1.323,     5.891,     3.026,     5.190,
     q2.3 hyper     ,    49.248,    15.482,     2.507,     2.972, 17968.723,    12.515,     0.067,     0.002,     0.131,    31.373,     0.053,     0.080,     0.053,     0.014,    14.125,     1.247,     4.211,
     q2.3 vectorwise,    44.624,    15.739,     2.978,     2.962, 18520.792,    11.491,     0.067,     0.002,     0.292,    34.220,     0.058,     0.075,     0.058,     1.136,     5.430,     1.158,     3.879,
     q3.1 hyper     ,   171.024,    15.688,     0.955,     3.132, 50093.899,    46.435,     0.186,     0.037,     1.152,    44.327,     0.230,     0.776,     0.230,     1.451,    17.797,    17.341,    14.826,
     q3.1 vectorwise,   172.141,    15.884,     1.410,     3.043, 55792.287,    45.979,     0.214,     0.054,     1.842,    64.813,     0.396,     0.870,     0.396,     4.044,    13.749,    12.506,    15.110,
     q3.2 hyper     ,    75.251,    15.597,     1.738,     2.984, 28505.039,    19.357,     0.102,     0.008,     0.466,    33.649,     0.058,     0.194,     0.058,     1.026,    14.557,     4.847,     6.486,
     q3.2 vectorwise,    73.144,    15.757,     2.033,     2.979, 30519.122,    18.975,     0.103,     0.011,     0.754,    38.568,     0.088,     0.202,     0.088,     1.657,     6.675,     4.837,     6.369,
     q3.3 hyper     ,    49.044,    15.715,     2.589,     2.962, 19961.706,    12.616,     0.072,     0.002,     0.306,    32.657,     0.023,     0.089,     0.023,     1.011,    14.197,     1.164,     4.259,
     q3.3 vectorwise,    46.928,    15.693,     2.855,     2.993, 20817.189,    12.179,     0.072,     0.002,     0.542,    34.775,     0.032,     0.088,     0.032,     1.197,     5.588,     1.451,     4.070,
     q3.4 hyper     ,    44.771,    15.764,     2.784,     3.007, 21681.932,    11.729,     0.072,     0.002,     0.305,    32.653,     0.023,     0.088,     0.023,     1.009,    14.201,     1.139,     3.900,
     q3.4 vectorwise,    43.516,    15.736,     3.112,     2.950, 22417.940,    11.162,     0.072,     0.002,     0.537,    34.738,     0.032,     0.088,     0.032,     1.190,     5.571,     1.342,     3.784,
     q4.1 hyper     ,   220.995,    15.780,     0.754,     3.108, 30333.395,    59.555,     0.254,     0.091,     1.802,    44.924,     0.369,     0.604,     0.369,     0.188,    19.863,    27.135,    19.165,
     q4.1 vectorwise,   193.327,    15.847,     1.106,     3.006, 38192.849,    50.616,     0.267,     0.083,     2.684,    55.994,     0.615,     0.665,     0.615,     3.191,    11.450,    14.860,    16.837,
     q4.2 hyper     ,   214.467,    15.781,     0.738,     3.119, 30656.647,    58.014,     0.218,     0.072,     1.739,    42.792,     0.368,     0.592,     0.368,     0.101,    20.575,    25.893,    18.600,
     q4.2 vectorwise,   182.971,    15.830,     1.168,     2.977, 43234.456,    47.396,     0.237,     0.058,     2.761,    55.375,     0.583,     0.712,     0.583,     3.212,    11.238,    13.598,    15.918,
     q4.3 hyper     ,   107.829,    15.737,     1.283,     3.062, 19208.788,    28.551,     0.128,     0.021,     0.625,    36.627,     0.161,     0.186,     0.161,     0.023,    18.508,    10.013,     9.326,
     q4.3 vectorwise,    86.527,    15.756,     1.771,     2.914, 24293.094,    21.830,     0.127,     0.035,     1.101,    38.650,     0.209,     0.189,     0.209,     1.641,     6.702,     5.219,     7.492,

############################################
### nrThreads=32
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,task-clock,
     q1.1 hyper     ,    65.492,    31.991,     0.565,     3.216, 52221.864,    37.440,     0.310,     0.009,     0.334,    21.139,     0.690,     0.311,     0.690,     0.154,     8.269,    12.684,    11.640,
     q1.1 vectorwise,    52.186,    31.895,     0.762,     3.140, 62194.476,    29.033,     0.292,     0.044,     0.439,    22.136,     0.049,     0.295,     0.049,     2.245,     4.172,    20.247,     9.247,
     q1.2 hyper     ,    44.722,    31.994,     0.842,     3.121, 61923.899,    24.815,     0.251,     0.008,     0.231,    20.892,     0.204,     0.252,     0.204,     0.059,     8.776,    12.915,     7.949,
     q1.2 vectorwise,    44.699,    31.913,     0.787,     3.144, 62753.450,    24.918,     0.252,     0.077,     0.258,    19.610,     0.012,     0.255,     0.012,     2.152,     3.583,    18.065,     7.925,
     q1.3 hyper     ,    43.526,    31.994,     0.861,     3.127, 63399.304,    24.201,     0.250,     0.009,     0.229,    20.841,     0.173,     0.251,     0.173,     0.058,     8.724,    13.055,     7.737,
     q1.3 vectorwise,    44.255,    31.917,     0.787,     3.146, 62840.826,    24.684,     0.251,     0.076,     0.244,    19.414,     0.010,     0.253,     0.010,     2.124,     3.527,    17.917,     7.847,
     q2.1 hyper     ,    87.800,    29.705,     0.784,     2.986, 41699.670,    43.020,     0.124,     0.031,     1.310,    33.718,     0.177,     0.331,     0.177,     0.097,    14.881,    21.118,    14.405,
     q2.1 vectorwise,    66.231,    30.502,     1.299,     2.799, 62285.766,    31.232,     0.134,     0.042,     1.744,    40.564,     0.233,     0.373,     0.233,     1.815,     7.208,     9.909,    11.157,
     q2.2 hyper     ,    43.943,    28.958,     1.532,     2.960, 27879.267,    20.800,     0.078,     0.010,     0.958,    31.865,     0.072,     0.111,     0.072,     0.036,    14.280,     6.811,     7.028,
     q2.2 vectorwise,    38.879,    30.422,     1.915,     2.858, 30397.332,    18.668,     0.077,     0.011,     1.292,    35.758,     0.090,     0.107,     0.090,     1.329,     5.899,     4.731,     6.533,
     q2.3 hyper     ,    28.871,    28.397,     2.353,     2.943, 30948.960,    13.328,     0.068,     0.002,     0.132,    31.365,     0.053,     0.081,     0.053,     0.017,    14.117,     1.895,     4.528,
     q2.3 vectorwise,    30.284,    29.986,     2.448,     2.792, 27877.613,    14.001,     0.069,     0.002,     0.294,    34.270,     0.058,     0.076,     0.058,     1.139,     5.437,     2.087,     5.015,
     q3.1 hyper     ,   108.945,    29.704,     0.826,     3.001, 79853.676,    53.668,     0.190,     0.040,     1.165,    44.343,     0.230,     0.788,     0.230,     1.456,    17.796,    24.455,    17.883,
     q3.1 vectorwise,   106.987,    30.908,     1.245,     2.850, 89595.905,    52.079,     0.218,     0.055,     1.836,    64.851,     0.397,     0.868,     0.397,     4.051,    13.775,    16.773,    18.274,
     q3.2 hyper     ,    53.308,    28.640,     1.514,     2.634, 40721.628,    22.227,     0.103,     0.009,     0.468,    33.649,     0.059,     0.197,     0.059,     1.032,    14.563,     7.351,     8.437,
     q3.2 vectorwise,    55.430,    29.588,     1.691,     2.524, 40650.970,    22.877,     0.104,     0.012,     0.756,    38.685,     0.089,     0.204,     0.089,     1.678,     6.723,     7.334,     9.063,
     q3.3 hyper     ,    28.962,    29.659,     2.366,     2.911, 33831.052,    13.817,     0.072,     0.002,     0.308,    32.685,     0.023,     0.089,     0.023,     1.014,    14.204,     2.122,     4.747,
     q3.3 vectorwise,    30.460,    29.924,     2.488,     2.777, 31886.608,    13.988,     0.072,     0.003,     0.543,    34.809,     0.033,     0.088,     0.033,     1.202,     5.598,     2.620,     5.037,
     q3.4 hyper     ,    26.755,    29.924,     2.504,     2.950, 36354.743,    13.052,     0.072,     0.002,     0.307,    32.678,     0.023,     0.088,     0.023,     1.012,    14.202,     2.192,     4.424,
     q3.4 vectorwise,    29.749,    29.977,     2.535,     2.783, 32759.836,    13.716,     0.073,     0.002,     0.537,    34.770,     0.032,     0.088,     0.032,     1.194,     5.575,     2.455,     4.928,
     q4.1 hyper     ,   147.385,    29.312,     0.614,     3.085, 45454.329,    73.247,     0.256,     0.088,     1.803,    44.977,     0.369,     0.603,     0.369,     0.192,    19.856,    40.427,    23.742,
     q4.1 vectorwise,   120.500,    31.075,     0.959,     2.841, 62632.655,    58.472,     0.266,     0.085,     2.681,    56.066,     0.616,     0.680,     0.616,     3.196,    11.461,    20.586,    20.579,
     q4.2 hyper     ,   142.774,    29.554,     0.598,     3.088, 46862.657,    71.604,     0.221,     0.070,     1.739,    42.825,     0.368,     0.602,     0.368,     0.105,    20.576,    39.121,    23.189,
     q4.2 vectorwise,   116.354,    30.780,     1.021,     2.759, 67092.958,    54.301,     0.238,     0.061,     2.757,    55.431,     0.584,     0.703,     0.584,     3.217,    11.244,    18.459,    19.682,
     q4.3 hyper     ,    71.312,    28.971,     1.092,     2.956, 29143.987,    33.561,     0.131,     0.023,     0.628,    36.649,     0.161,     0.187,     0.161,     0.026,    18.528,    14.863,    11.354,
     q4.3 vectorwise,    61.246,    30.141,     1.481,     2.575, 34483.928,    26.126,     0.129,     0.036,     1.101,    38.698,     0.209,     0.190,     0.209,     1.652,     6.729,     8.238,    10.145,

End: 2026-04-29T01:59:58-04:00
