=== Job info ===
Job ID:   3179967
Node:     adroit-15
Start:    2026-05-03T00:57:15-04:00
Project:  /scratch/network/hp6068/db-engine-paradigms

=== CPU ===
Model name:                              Intel(R) Xeon(R) Gold 6142 CPU @ 2.60GHz
Thread(s) per core:                      1
Core(s) per socket:                      16
Socket(s):                               2
CPU(s) scaling MHz:                      84%
CPU max MHz:                             3700.0000
CPU min MHz:                             1000.0000

=== NUMA ===
available: 2 nodes (0-1)
node 0 cpus: 0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30
node 0 size: 191395 MB
node 0 free: 113614 MB
node 1 cpus: 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31
node 1 size: 193528 MB
node 1 free: 118499 MB
node distances:
node     0    1 
   0:   10   21 
   1:   21   10 

=== Kernel ===
randomize_va_space: 2
================

############################################
### vectorSize=1
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,local_dram,remote_dram,task-clock,
     q1.1 hyper     ,  1702.574,     1.000,     0.689,     3.243,  2005.018,    30.675,     0.309,     0.009,     0.332,    21.128,     0.689,     0.311,     0.689,     0.151,     8.258,     6.084,     0.002,     0.000,     9.458,
     q1.1 vectorwise,  5348.467,     1.000,     2.253,     3.249,   616.166,    96.546,     0.296,     0.014,     0.332,   217.506,     0.711,     0.300,     0.711,    23.548,    80.723,    11.024,     0.003,     0.000,    29.712,
     q1.2 hyper     ,   765.730,     1.000,     1.517,     3.239,  3618.826,    13.777,     0.251,     0.004,     0.230,    20.897,     0.204,     0.252,     0.204,     0.055,     8.735,     2.499,     0.001,     0.000,     4.254,
     q1.2 vectorwise,  5345.399,     1.000,     2.373,     3.251,   519.176,    96.533,     0.250,     0.004,     0.220,   229.113,     0.713,     0.253,     0.713,    22.650,    87.433,     8.506,     0.001,     0.000,    29.695,
     q1.3 hyper     ,   702.795,     1.000,     1.648,     3.237,  3919.237,    12.640,     0.249,     0.003,     0.228,    20.833,     0.172,     0.251,     0.172,     0.055,     8.690,     2.125,     0.001,     0.000,     3.904,
     q1.3 vectorwise,  5320.423,     1.000,     2.382,     3.251,   518.344,    96.084,     0.249,     0.004,     0.214,   228.842,     0.714,     0.251,     0.714,    22.617,    87.358,     8.160,     0.001,     0.000,    29.557,
     q2.1 hyper     ,  1991.421,     1.000,     0.946,     3.238,  1785.317,    35.616,     0.122,     0.029,     1.311,    33.693,     0.178,     0.322,     0.178,     0.091,    14.845,    14.073,     0.007,     0.000,    10.998,
     q2.1 vectorwise,  7731.569,     1.000,     1.947,     3.247,   536.502,   138.637,     0.111,     0.045,     1.393,   269.866,     0.188,     0.375,     0.188,    37.464,    92.620,    25.401,     0.010,     0.000,    42.700,
     q2.2 hyper     ,   985.082,     1.000,     1.807,     3.237,  1115.382,    17.613,     0.076,     0.009,     0.957,    31.829,     0.072,     0.099,     0.072,     0.033,    14.251,     4.120,     0.002,     0.000,     5.440,
     q2.2 vectorwise,  5935.155,     1.000,     2.364,     3.252,   213.706,   106.602,     0.074,     0.011,     1.054,   251.956,     0.073,     0.115,     0.073,    34.719,    86.596,    11.163,     0.002,     0.000,    32.778,
     q2.3 hyper     ,   680.703,     1.000,     2.575,     3.238,  1149.861,    12.174,     0.066,     0.001,     0.126,    31.351,     0.053,     0.071,     0.053,     0.014,    14.105,     1.110,     0.000,     0.000,     3.759,
     q2.3 vectorwise,  5585.375,     1.000,     2.470,     3.253,   141.723,   100.339,     0.066,     0.003,     0.205,   247.858,     0.052,     0.072,     0.052,    34.045,    85.180,     8.537,     0.001,     0.000,    30.847,
     q3.1 hyper     ,  2493.360,     1.000,     0.994,     3.233,  3441.828,    44.545,     0.188,     0.036,     1.153,    44.299,     0.229,     0.777,     0.229,     1.448,    17.786,    15.723,     0.008,     0.000,    13.778,
     q3.1 vectorwise, 11032.313,     1.000,     1.839,     3.247,   729.136,   197.960,     0.180,     0.071,     1.074,   364.054,     0.392,     0.728,     0.392,    52.027,   124.656,    38.801,     0.016,     0.000,    60.963,
     q3.2 hyper     ,  1050.083,     1.000,     1.791,     3.234,  2038.911,    18.763,     0.104,     0.008,     0.465,    33.611,     0.058,     0.194,     0.058,     1.021,    14.541,     4.385,     0.002,     0.000,     5.803,
     q3.2 vectorwise,  6412.491,     1.000,     2.285,     3.251,   313.380,   115.182,     0.090,     0.019,     0.455,   263.244,     0.072,     0.182,     0.072,    36.468,    90.442,    14.070,     0.004,     0.000,    35.434,
     q3.3 hyper     ,   686.022,     1.000,     2.658,     3.238,  1384.995,    12.275,     0.072,     0.002,     0.302,    32.629,     0.023,     0.086,     0.023,     1.006,    14.185,     0.969,     0.000,     0.000,     3.791,
     q3.3 vectorwise,  5657.247,     1.000,     2.460,     3.252,   155.364,   101.676,     0.067,     0.008,     0.318,   250.128,     0.028,     0.080,     0.028,    34.409,    85.972,     9.246,     0.002,     0.000,    31.261,
     q3.4 hyper     ,   636.599,     1.000,     2.864,     3.237,  1499.071,    11.388,     0.072,     0.002,     0.301,    32.613,     0.023,     0.086,     0.023,     1.005,    14.176,     0.918,     0.000,     0.000,     3.518,
     q3.4 vectorwise,  5638.343,     1.000,     2.468,     3.253,   155.274,   101.341,     0.067,     0.008,     0.314,   250.088,     0.027,     0.079,     0.027,    34.398,    85.944,     8.955,     0.002,     0.000,    31.157,
     q4.1 hyper     ,  3355.806,     1.000,     0.755,     3.225,  1964.010,    59.477,     0.267,     0.099,     1.804,    44.910,     0.368,     0.593,     0.368,     0.184,    19.846,    27.211,     0.022,     0.000,    18.442,
     q4.1 vectorwise, 12456.561,     1.000,     1.606,     3.242,   715.474,   221.960,     0.273,     0.160,     2.082,   356.493,     0.504,     0.802,     0.504,    51.629,   123.838,    58.643,     0.036,     0.000,    68.455,
     q4.2 hyper     ,  3282.454,     1.000,     0.736,     3.225,  2005.100,    58.166,     0.228,     0.077,     1.743,    42.812,     0.368,     0.593,     0.368,     0.107,    20.561,    26.145,     0.017,     0.000,    18.039,
     q4.2 vectorwise, 12125.916,     1.000,     1.658,     3.242,   699.915,   216.027,     0.257,     0.138,     2.090,   358.093,     0.510,     0.764,     0.510,    50.933,   124.842,    54.953,     0.031,     0.000,    66.638,
     q4.3 hyper     ,  1538.881,     1.000,     1.339,     3.232,  1338.183,    27.331,     0.127,     0.020,     0.623,    36.602,     0.161,     0.185,     0.161,     0.020,    18.508,     9.077,     0.004,     0.000,     8.457,
     q4.3 vectorwise,  7256.493,     1.000,     2.201,     3.250,   281.050,   129.601,     0.120,     0.032,     0.831,   285.266,     0.185,     0.184,     0.185,    39.621,    99.757,    18.030,     0.007,     0.000,    39.878,

############################################
### vectorSize=8
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,local_dram,remote_dram,task-clock,
     q1.1 hyper     ,  1698.911,     1.000,     0.690,     3.244,  2010.349,    30.616,     0.310,     0.009,     0.332,    21.127,     0.689,     0.311,     0.689,     0.151,     8.258,     6.016,     0.002,     0.000,     9.438,
     q1.1 vectorwise,  1743.993,     1.000,     1.896,     3.241,  1891.443,    31.405,     0.298,     0.015,     0.334,    59.528,     0.274,     0.300,     0.274,     7.174,    18.273,     6.607,     0.003,     0.000,     9.688,
     q1.2 hyper     ,   764.679,     1.000,     1.519,     3.239,  3624.609,    13.761,     0.251,     0.004,     0.230,    20.899,     0.204,     0.252,     0.204,     0.055,     8.734,     2.477,     0.001,     0.000,     4.248,
     q1.2 vectorwise,  1405.667,     1.000,     2.062,     3.242,  1973.235,    25.317,     0.250,     0.005,     0.221,    52.197,     0.299,     0.252,     0.299,     5.740,    16.101,     4.119,     0.001,     0.000,     7.809,
     q1.3 hyper     ,   701.248,     1.000,     1.651,     3.239,  3928.041,    12.617,     0.249,     0.003,     0.228,    20.835,     0.172,     0.251,     0.172,     0.055,     8.691,     2.099,     0.001,     0.000,     3.896,
     q1.3 vectorwise,  1400.765,     1.000,     2.059,     3.242,  1969.524,    25.231,     0.249,     0.005,     0.217,    51.954,     0.298,     0.251,     0.298,     5.707,    16.036,     4.006,     0.001,     0.000,     7.782,
     q2.1 hyper     ,  1914.329,     1.000,     0.983,     3.239,  1747.036,    34.244,     0.123,     0.029,     1.313,    33.678,     0.178,     0.303,     0.178,     0.092,    14.854,    12.934,     0.007,     0.000,    10.572,
     q2.1 vectorwise,  3180.385,     1.000,     1.413,     3.241,  1193.435,    56.922,     0.111,     0.045,     1.394,    80.425,     0.233,     0.343,     0.233,     8.228,    21.939,    18.116,     0.010,     0.000,    17.565,
     q2.2 hyper     ,   959.009,     1.000,     1.854,     3.241,  1137.295,    17.165,     0.076,     0.009,     0.958,    31.822,     0.071,     0.099,     0.071,     0.031,    14.251,     3.883,     0.002,     0.000,     5.296,
     q2.2 vectorwise,  1667.489,     1.000,     2.164,     3.244,   747.110,    29.873,     0.074,     0.011,     1.051,    64.638,     0.081,     0.113,     0.081,     5.813,    16.639,     5.378,     0.002,     0.000,     9.208,
     q2.3 hyper     ,   679.365,     1.000,     2.581,     3.239,  1152.642,    12.154,     0.066,     0.001,     0.126,    31.366,     0.053,     0.071,     0.053,     0.013,    14.099,     1.094,     0.000,     0.000,     3.752,
     q2.3 vectorwise,  1284.669,     1.000,     2.649,     3.247,   614.687,    23.039,     0.066,     0.001,     0.174,    61.036,     0.055,     0.071,     0.055,     5.245,    15.401,     2.073,     0.000,     0.000,     7.095,
     q3.1 hyper     ,  2418.087,     1.000,     1.025,     3.234,  3587.619,    43.211,     0.187,     0.037,     1.167,    44.298,     0.229,     0.785,     0.229,     1.447,    17.786,    14.693,     0.008,     0.000,    13.362,
     q3.1 vectorwise,  5131.389,     1.000,     1.376,     3.237,  1612.694,    91.795,     0.179,     0.062,     1.144,   126.308,     0.625,     0.749,     0.625,    14.426,    36.471,    26.422,     0.014,     0.000,    28.355,
     q3.2 hyper     ,  1032.198,     1.000,     1.820,     3.237,  2117.372,    18.460,     0.104,     0.008,     0.468,    33.590,     0.058,     0.198,     0.058,     1.022,    14.547,     4.111,     0.002,     0.000,     5.704,
     q3.2 vectorwise,  1804.375,     1.000,     2.127,     3.239,  1179.951,    32.295,     0.093,     0.010,     0.519,    68.686,     0.107,     0.193,     0.107,     6.360,    17.891,     6.032,     0.002,     0.000,     9.971,
     q3.3 hyper     ,   682.876,     1.000,     2.671,     3.238,  1389.492,    12.217,     0.072,     0.002,     0.303,    32.633,     0.023,     0.086,     0.023,     1.007,    14.187,     0.928,     0.000,     0.000,     3.773,
