=== Job info ===
Job ID:   3179967
Node:     adroit-15
Start:    2026-05-03T00:57:15-04:00
Project:  /scratch/network/hp6068/db-engine-paradigms

=== CPU ===
Model name:                              Intel(R) Xeon(R) Gold 6142 CPU @ 2.60GHz
Thread(s) per core:                      1
Core(s) per socket:                      16
Socket(s):                               2
CPU(s) scaling MHz:                      84%
CPU max MHz:                             3700.0000
CPU min MHz:                             1000.0000

=== NUMA ===
available: 2 nodes (0-1)
node 0 cpus: 0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30
node 0 size: 191395 MB
node 0 free: 113614 MB
node 1 cpus: 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31
node 1 size: 193528 MB
node 1 free: 118499 MB
node distances:
node     0    1 
   0:   10   21 
   1:   21   10 

=== Kernel ===
randomize_va_space: 2
================

############################################
### vectorSize=1
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,local_dram,remote_dram,task-clock,
     q3.3 vectorwise,  1287.812,     1.000,     2.675,     3.244,   716.585,    23.087,     0.068,     0.002,     0.411,    61.765,     0.033,     0.084,     0.033,     5.362,    15.656,     2.280,     0.000,     0.000,     7.116,
     q3.4 hyper     ,   632.879,     1.000,     2.881,     3.237,  1511.893,    11.320,     0.073,     0.002,     0.302,    32.615,     0.023,     0.087,     0.023,     1.004,    14.180,     0.875,     0.000,     0.000,     3.497,
     q3.4 vectorwise,  1280.941,     1.000,     2.687,     3.245,   718.213,    22.967,     0.068,     0.002,     0.406,    61.708,     0.033,     0.083,     0.033,     5.349,    15.626,     2.228,     0.000,     0.000,     7.078,
     q4.1 hyper     ,  3288.980,     1.000,     0.771,     3.225,  2023.942,    58.293,     0.268,     0.100,     1.798,    44.946,     0.369,     0.599,     0.369,     0.189,    19.853,    26.175,     0.022,     0.000,    18.075,
     q4.1 vectorwise,  6627.303,     1.000,     1.043,     3.235,  1170.038,   117.802,     0.263,     0.148,     2.079,   122.881,     0.773,     0.698,     0.773,    14.724,    36.053,    45.536,     0.033,     0.000,    36.420,
     q4.2 hyper     ,  3206.705,     1.000,     0.753,     3.226,  2047.150,    56.850,     0.228,     0.077,     1.739,    42.796,     0.368,     0.591,     0.368,     0.105,    20.563,    24.969,     0.017,     0.000,    17.622,
     q4.2 vectorwise,  6279.664,     1.000,     1.090,     3.233,  1238.070,   111.573,     0.235,     0.121,     2.073,   121.629,     0.745,     0.700,     0.745,    14.032,    35.832,    41.907,     0.027,     0.000,    34.510,
     q4.3 hyper     ,  1516.736,     1.000,     1.358,     3.234,  1357.134,    26.954,     0.127,     0.020,     0.623,    36.607,     0.161,     0.185,     0.161,     0.021,    18.501,     8.710,     0.004,     0.000,     8.335,
     q4.3 vectorwise,  2576.425,     1.000,     1.700,     3.241,   790.847,    45.882,     0.117,     0.029,     0.795,    78.014,     0.227,     0.183,     0.227,     7.825,    21.434,    11.872,     0.006,     0.000,    14.159,

############################################
### vectorSize=16
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,local_dram,remote_dram,task-clock,
     q1.1 hyper     ,  1699.806,     1.000,     0.690,     3.244,  2008.626,    30.636,     0.309,     0.009,     0.332,    21.128,     0.689,     0.311,     0.689,     0.151,     8.258,     6.042,     0.002,     0.000,     9.443,
     q1.1 vectorwise,  1291.788,     1.000,     1.887,     3.239,  2571.660,    23.246,     0.300,     0.017,     0.335,    43.869,     0.195,     0.302,     0.195,     5.270,    12.328,     5.738,     0.004,     0.000,     7.176,
     q1.2 hyper     ,   764.183,     1.000,     1.519,     3.240,  3627.194,    13.756,     0.250,     0.004,     0.230,    20.897,     0.204,     0.252,     0.204,     0.055,     8.735,     2.484,     0.001,     0.000,     4.245,
     q1.2 vectorwise,  1001.426,     1.000,     2.112,     3.240,  2771.928,    18.027,     0.250,     0.006,     0.221,    38.075,     0.194,     0.253,     0.194,     4.326,    10.592,     3.172,     0.001,     0.000,     5.563,
     q1.3 hyper     ,   701.823,     1.000,     1.649,     3.240,  3924.363,    12.630,     0.249,     0.003,     0.228,    20.832,     0.172,     0.251,     0.172,     0.055,     8.690,     2.116,     0.001,     0.000,     3.899,
     q1.3 vectorwise,   989.339,     1.000,     2.125,     3.240,  2788.739,    17.808,     0.249,     0.006,     0.217,    37.848,     0.192,     0.251,     0.192,     4.293,    10.529,     3.083,     0.001,     0.000,     5.496,
     q2.1 hyper     ,  1946.315,     1.000,     0.967,     3.241,  1851.420,    34.835,     0.122,     0.030,     1.311,    33.695,     0.178,     0.326,     0.178,     0.092,    14.848,    13.396,     0.007,     0.000,    10.749,
     q2.1 vectorwise,  2809.789,     1.000,     1.306,     3.241,  1335.152,    50.287,     0.111,     0.044,     1.406,    65.657,     0.281,     0.339,     0.281,     5.928,    16.442,    17.565,     0.010,     0.000,    15.517,
     q2.2 hyper     ,   959.121,     1.000,     1.853,     3.241,  1138.070,    17.167,     0.076,     0.009,     0.957,    31.819,     0.071,     0.099,     0.071,     0.031,    14.257,     3.883,     0.002,     0.000,     5.297,
     q2.2 vectorwise,  1357.606,     1.000,     2.106,     3.243,   909.882,    24.318,     0.074,     0.011,     1.049,    51.202,     0.104,     0.112,     0.104,     3.739,    11.624,     5.108,     0.002,     0.000,     7.498,
     q2.3 hyper     ,   679.202,     1.000,     2.580,     3.240,  1152.504,    12.153,     0.066,     0.001,     0.126,    31.357,     0.053,     0.071,     0.053,     0.014,    14.102,     1.095,     0.000,     0.000,     3.751,
     q2.3 vectorwise,   960.376,     1.000,     2.770,     3.244,   822.058,    17.204,     0.066,     0.002,     0.170,    47.664,     0.072,     0.071,     0.072,     3.187,    10.417,     1.607,     0.000,     0.000,     5.304,
     q3.1 hyper     ,  2418.510,     1.000,     1.025,     3.234,  3581.444,    43.223,     0.188,     0.037,     1.166,    44.298,     0.229,     0.784,     0.229,     1.447,    17.785,    14.715,     0.008,     0.000,    13.364,
     q3.1 vectorwise,  4564.327,     1.000,     1.292,     3.238,  1912.233,    81.660,     0.176,     0.061,     1.224,   105.469,     0.674,     0.790,     0.674,    11.041,    28.756,    25.628,     0.014,     0.000,    25.221,
     q3.2 hyper     ,  1026.628,     1.000,     1.831,     3.236,  2094.862,    18.358,     0.104,     0.008,     0.466,    33.613,     0.058,     0.195,     0.058,     1.022,    14.537,     4.056,     0.002,     0.000,     5.673,
     q3.2 vectorwise,  1495.228,     1.000,     2.043,     3.239,  1362.412,    26.763,     0.092,     0.011,     0.532,    54.672,     0.131,     0.184,     0.131,     4.196,    12.669,     5.764,     0.004,     0.000,     8.262,
     q3.3 hyper     ,   682.420,     1.000,     2.670,     3.240,  1387.985,    12.217,     0.072,     0.002,     0.303,    32.617,     0.023,     0.086,     0.023,     1.006,    14.184,     0.927,     0.001,     0.000,     3.771,
     q3.3 vectorwise,   969.657,     1.000,     2.779,     3.243,   952.670,    17.375,     0.068,     0.002,     0.419,    48.285,     0.045,     0.084,     0.045,     3.281,    10.616,     1.923,     0.001,     0.000,     5.358,
     q3.4 hyper     ,   632.750,     1.000,     2.880,     3.238,  1509.875,    11.322,     0.073,     0.002,     0.302,    32.608,     0.023,     0.086,     0.023,     1.005,    14.182,     0.877,     0.001,     0.000,     3.496,
     q3.4 vectorwise,   964.810,     1.000,     2.790,     3.244,   954.489,    17.293,     0.068,     0.002,     0.415,    48.243,     0.045,     0.083,     0.045,     3.275,    10.605,     1.843,     0.001,     0.000,     5.331,
     q4.1 hyper     ,  3293.458,     1.000,     0.769,     3.227,  2012.302,    58.396,     0.268,     0.100,     1.798,    44.921,     0.369,     0.597,     0.369,     0.186,    19.848,    26.247,     0.033,     0.000,    18.098,
     q4.1 vectorwise,  5830.392,     1.000,     0.943,     3.233,  1278.565,   103.595,     0.258,     0.138,     2.107,    97.653,     0.857,     0.671,     0.857,    10.425,    26.718,    41.818,     0.046,     0.000,    32.039,
     q4.2 hyper     ,  3217.456,     1.000,     0.750,     3.227,  2048.596,    57.059,     0.228,     0.077,     1.737,    42.792,     0.368,     0.593,     0.368,     0.105,    20.560,    25.129,     0.026,     0.000,    17.681,
     q4.2 vectorwise,  5536.926,     1.000,     0.968,     3.233,  1370.978,    98.362,     0.228,     0.111,     2.112,    95.171,     0.858,     0.684,     0.858,     9.730,    25.926,    38.755,     0.037,     0.000,    30.427,
     q4.3 hyper     ,  1517.909,     1.000,     1.356,     3.234,  1358.547,    26.972,     0.127,     0.020,     0.623,    36.581,     0.161,     0.186,     0.161,     0.021,    18.508,     8.733,     0.007,     0.000,     8.341,
     q4.3 vectorwise,  2205.914,     1.000,     1.580,     3.239,   930.079,    39.266,     0.118,     0.028,     0.791,    62.042,     0.274,     0.185,     0.274,     5.353,    15.408,    11.345,     0.009,     0.000,    12.122,

############################################
### vectorSize=32
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,local_dram,remote_dram,task-clock,
     q1.1 hyper     ,  1700.732,     1.000,     0.689,     3.244,  2006.741,    30.648,     0.309,     0.009,     0.331,    21.128,     0.689,     0.311,     0.689,     0.151,     8.258,     6.047,     0.002,     0.000,     9.448,
     q1.1 vectorwise,  1028.858,     1.000,     1.847,     3.237,  3228.932,    18.503,     0.300,     0.019,     0.335,    34.182,     0.159,     0.302,     0.159,     3.982,     8.675,     4.895,     0.004,     0.000,     5.716,
     q1.2 hyper     ,   764.242,     1.000,     1.519,     3.240,  3626.522,    13.755,     0.251,     0.004,     0.230,    20.893,     0.204,     0.252,     0.204,     0.055,     8.734,     2.479,     0.001,     0.000,     4.246,
     q1.2 vectorwise,   759.331,     1.000,     2.188,     3.237,  3654.978,    13.657,     0.250,     0.009,     0.223,    29.876,     0.135,     0.253,     0.135,     3.428,     7.449,     2.468,     0.002,     0.000,     4.218,
     q1.3 hyper     ,   701.663,     1.000,     1.650,     3.238,  3924.725,    12.624,     0.249,     0.003,     0.228,    20.835,     0.172,     0.251,     0.172,     0.055,     8.689,     2.110,     0.001,     0.000,     3.898,
     q1.3 vectorwise,   740.542,     1.000,     2.226,     3.238,  3725.901,    13.320,     0.249,     0.009,     0.218,    29.657,     0.131,     0.251,     0.131,     3.395,     7.387,     2.271,     0.002,     0.000,     4.114,
     q2.1 hyper     ,  1977.239,     1.000,     0.953,     3.238,  1755.473,    35.361,     0.123,     0.030,     1.311,    33.689,     0.178,     0.314,     0.178,     0.092,    14.856,    13.733,     0.007,     0.000,    10.919,
     q2.1 vectorwise,  2500.305,     1.000,     1.270,     3.240,  1524.192,    44.746,     0.111,     0.045,     1.415,    56.817,     0.296,     0.345,     0.296,     4.528,    13.158,    15.838,     0.015,     0.000,    13.809,
     q2.2 hyper     ,   982.299,     1.000,     1.811,     3.240,  1122.984,    17.578,     0.076,     0.009,     0.957,    31.828,     0.072,     0.100,     0.072,     0.033,    14.251,     4.071,     0.003,     0.000,     5.425,
     q2.2 vectorwise,  1197.765,     1.000,     2.069,     3.243,  1019.225,    21.453,     0.074,     0.011,     1.055,    44.378,     0.121,     0.110,     0.121,     2.685,     9.079,     4.942,     0.004,     0.000,     6.615,
     q2.3 hyper     ,   680.159,     1.000,     2.576,     3.241,  1150.110,    12.174,     0.066,     0.002,     0.127,    31.363,     0.053,     0.071,     0.053,     0.014,    14.095,     1.112,     0.001,     0.000,     3.756,
     q2.3 vectorwise,   816.796,     1.000,     2.799,     3.244,   965.925,    14.634,     0.066,     0.001,     0.168,    40.962,     0.087,     0.071,     0.087,     2.157,     7.919,     1.405,     0.000,     0.000,     4.511,
     q3.1 hyper     ,  2457.172,     1.000,     1.009,     3.234,  3484.548,    43.910,     0.188,     0.037,     1.150,    44.299,     0.229,     0.775,     0.229,     1.448,    17.783,    15.163,     0.012,     0.000,    13.578,
     q3.1 vectorwise,  4116.794,     1.000,     1.244,     3.238,  2160.185,    73.653,     0.176,     0.065,     1.277,    91.635,     0.658,     0.805,     0.658,     8.722,    23.622,    24.161,     0.022,     0.000,    22.749,
     q3.2 hyper     ,  1044.904,     1.000,     1.798,     3.236,  2033.310,    18.682,     0.104,     0.008,     0.463,    33.591,     0.058,     0.192,     0.058,     1.021,    14.533,     4.254,     0.003,     0.000,     5.774,
     q3.2 vectorwise,  1335.987,     1.000,     1.989,     3.239,  1565.914,    23.915,     0.092,     0.011,     0.546,    47.563,     0.132,     0.189,     0.132,     3.093,    10.019,     5.778,     0.004,     0.000,     7.382,
     q3.3 hyper     ,   685.239,     1.000,     2.659,     3.240,  1387.535,    12.269,     0.072,     0.002,     0.303,    32.624,     0.023,     0.086,     0.023,     1.006,    14.187,     0.963,     0.001,     0.000,     3.787,
     q3.3 vectorwise,   799.417,     1.000,     2.902,     3.242,  1156.685,    14.323,     0.068,     0.002,     0.426,    41.561,     0.048,     0.084,     0.048,     2.244,     8.104,     1.718,     0.001,     0.000,     4.418,
     q3.4 hyper     ,   634.447,     1.000,     2.872,     3.239,  1505.558,    11.357,     0.072,     0.002,     0.302,    32.619,     0.023,     0.086,     0.023,     1.005,    14.172,     0.901,     0.001,     0.000,     3.506,
     q3.4 vectorwise,   792.980,     1.000,     2.922,     3.242,  1162.285,    14.208,     0.068,     0.002,     0.421,    41.516,     0.047,     0.083,     0.047,     2.240,     8.103,     1.647,     0.001,     0.000,     4.382,
     q4.1 hyper     ,  3315.519,     1.000,     0.764,     3.227,  2011.495,    58.800,     0.268,     0.099,     1.801,    44.928,     0.369,     0.600,     0.369,     0.187,    19.844,    26.567,     0.033,     0.000,    18.220,
     q4.1 vectorwise,  4979.520,     1.000,     0.926,     3.233,  1450.168,    88.458,     0.254,     0.137,     2.197,    81.946,     0.815,     0.650,     0.815,     7.705,    20.914,    35.432,     0.046,     0.000,    27.365,
     q4.2 hyper     ,  3242.332,     1.000,     0.744,     3.228,  2036.241,    57.515,     0.228,     0.077,     1.741,    42.782,     0.367,     0.594,     0.367,     0.104,    20.549,    25.476,     0.026,     0.000,    17.818,
     q4.2 vectorwise,  4666.079,     1.000,     0.952,     3.232,  1600.457,    82.873,     0.222,     0.108,     2.177,    78.907,     0.815,     0.672,     0.815,     7.071,    19.883,    32.228,     0.036,     0.000,    25.642,
     q4.3 hyper     ,  1529.100,     1.000,     1.348,     3.233,  1346.568,    27.169,     0.127,     0.020,     0.623,    36.611,     0.161,     0.185,     0.161,     0.021,    18.498,     8.910,     0.007,     0.000,     8.403,
     q4.3 vectorwise,  1917.789,     1.000,     1.547,     3.238,  1061.891,    34.126,     0.117,     0.029,     0.804,    52.785,     0.284,     0.183,     0.284,     3.902,    11.926,     9.847,     0.010,     0.000,    10.539,

############################################
### vectorSize=64
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,local_dram,remote_dram,task-clock,
     q1.1 hyper     ,  1698.010,     1.000,     0.691,     3.243,  2010.919,    30.593,     0.309,     0.009,     0.331,    21.128,     0.689,     0.311,     0.689,     0.151,     8.258,     6.002,     0.002,     0.000,     9.433,
     q1.1 vectorwise,   848.176,     1.000,     1.877,     3.235,  3908.038,    15.243,     0.299,     0.021,     0.333,    28.610,     0.114,     0.302,     0.114,     3.203,     6.580,     4.256,     0.005,     0.000,     4.712,
     q1.2 hyper     ,   763.274,     1.000,     1.521,     3.239,  3630.896,    13.734,     0.251,     0.004,     0.230,    20.894,     0.204,     0.252,     0.204,     0.055,     8.733,     2.452,     0.001,     0.000,     4.240,
     q1.2 vectorwise,   592.851,     1.000,     2.340,     3.234,  4685.894,    10.652,     0.250,     0.017,     0.223,    24.928,     0.070,     0.253,     0.070,     2.828,     5.569,     2.048,     0.004,     0.000,     3.294,
     q1.3 hyper     ,   700.321,     1.000,     1.654,     3.238,  3933.187,    12.599,     0.249,     0.003,     0.228,    20.834,     0.172,     0.251,     0.172,     0.055,     8.691,     2.082,     0.001,     0.000,     3.891,
     q1.3 vectorwise,   577.824,     1.000,     2.381,     3.234,  4776.864,    10.382,     0.249,     0.017,     0.219,    24.719,     0.066,     0.251,     0.066,     2.796,     5.509,     1.911,     0.004,     0.000,     3.210,
     q2.1 hyper     ,  1973.234,     1.000,     0.955,     3.238,  1805.210,    35.286,     0.122,     0.029,     1.310,    33.693,     0.178,     0.322,     0.178,     0.093,    14.854,    13.621,     0.007,     0.000,    10.898,
     q2.1 vectorwise,  2225.483,     1.000,     1.275,     3.238,  1849.818,    39.803,     0.111,     0.045,     1.425,    50.768,     0.272,     0.373,     0.272,     3.549,    10.941,    14.378,     0.010,     0.000,    12.291,
     q2.2 hyper     ,   980.799,     1.000,     1.814,     3.239,  1128.731,    17.547,     0.076,     0.009,     0.957,    31.835,     0.072,     0.100,     0.072,     0.033,    14.256,     4.050,     0.002,     0.000,     5.417,
