=== Job info ===
Job ID:   3189204
Node:     adroit-13
Start:    2026-05-05T00:18:43-04:00
Project:  /scratch/network/gl2969/cos_598i_final

=== CPU ===
Model name:                              Intel(R) Xeon(R) Gold 6142 CPU @ 2.60GHz
Thread(s) per core:                      1
Core(s) per socket:                      16
Socket(s):                               2
CPU(s) scaling MHz:                      85%
CPU max MHz:                             3700.0000
CPU min MHz:                             1000.0000

=== NUMA ===
available: 2 nodes (0-1)
node 0 cpus: 0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30
node 0 size: 191395 MB
node 0 free: 98553 MB
node 1 cpus: 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31
node 1 size: 193528 MB
node 1 free: 55271 MB
node distances:
node     0    1 
   0:   10   21 
   1:   21   10 

=== Kernel ===
randomize_va_space: 2
================

############################################
### vectorSize=1
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,local_dram,remote_dram,task-clock,
       q4 hyper     ,   186.392,     1.000,     0.899,     2.712,  2434.016,    67.391,     0.410,     0.058,     1.653,    60.561,     0.693,     0.991,     0.693,     7.831,    24.734,    21.121,     0.013,     0.000,    24.850,
       q4 vectorwise,  4720.195,     1.000,     3.025,     3.215,   130.326,  2022.897,     1.115,     0.155,     3.482,  6119.009,     1.088,     1.344,     1.088,  1209.777,  2402.799,    75.620,     0.032,     0.000,   629.230,
       q5 hyper     ,    53.413,     1.000,     1.160,     3.101,  2690.192,    21.620,     0.088,     0.010,     0.487,    25.079,     0.191,     0.307,     0.191,     0.141,     8.491,     6.687,     0.002,     0.000,     6.973,
       q5 vectorwise,   273.284,     1.000,     2.153,     3.228,   455.558,   115.153,     0.091,     0.023,     0.443,   247.875,     0.180,     0.266,     0.180,    33.144,    85.387,    16.384,     0.005,     0.000,    35.672,
      q10 hyper     ,    74.805,     1.000,     0.685,     3.143,  2770.852,    30.725,     0.241,     0.036,     0.613,    21.047,     0.369,     0.444,     0.369,     1.360,     9.667,     9.911,     0.008,     0.000,     9.778,
      q10 vectorwise,   341.686,     1.000,     2.379,     3.226,   595.132,   144.050,     0.236,     0.054,     0.840,   342.712,     0.386,     0.435,     0.386,    56.377,   129.335,    17.898,     0.012,     0.000,    44.658,
      q11 hyper     ,     8.018,     1.000,     1.873,     2.974,  2382.030,    29.437,     0.043,     0.002,     0.755,    55.138,     0.187,     0.386,     0.187,     5.633,    19.002,     3.599,     0.000,     0.000,     9.899,
      q11 vectorwise,    66.172,     1.000,     2.792,     3.217,   277.155,   262.811,     0.040,     0.002,     1.716,   733.784,     0.242,     0.371,     0.242,   128.839,   270.117,    12.386,     0.000,     0.000,    81.702,
      q12 hyper     ,   172.459,     1.000,     0.664,     2.588,  1854.283,    59.508,     0.625,     0.116,     0.967,    39.524,     0.767,     0.698,     0.767,     2.981,    15.134,    21.800,     0.026,     0.000,    22.992,
      q12 vectorwise,   422.848,     1.000,     2.076,     2.909,   971.592,   163.998,     0.892,     0.148,     1.380,   340.522,     0.758,     0.897,     0.758,    43.304,   125.461,    33.114,     0.032,     0.000,    56.370,
      q13 hyper     ,   136.097,     1.000,     1.423,     3.043,  1597.062,   250.988,     1.630,     0.026,     6.982,   357.035,     2.235,     2.158,     2.235,    37.981,   107.063,    38.693,     0.005,     0.000,    82.490,
      q13 vectorwise,  1920.085,     1.000,     2.890,     3.237,   122.024,  3766.725,     1.505,     0.017,     8.252, 10885.080,     2.750,     2.326,     2.750,  2137.856,  4244.755,   203.374,     0.004,     0.000,  1163.644,
      q14 hyper     ,    32.499,     1.000,     0.865,     2.966,  2142.284,    15.547,     0.090,     0.022,     0.217,    13.446,     0.224,     0.184,     0.224,     0.442,     5.044,     5.065,     0.005,     0.000,     5.241,
      q14 vectorwise,   135.824,     1.000,     2.498,     3.149,   631.513,    68.980,     0.131,     0.034,     0.285,   172.337,     0.164,     0.227,     0.164,    19.570,    63.287,    11.316,     0.008,     0.000,    21.905,
      q15 hyper     ,    34.562,     1.000,     0.879,     3.162,  2843.542,    18.180,     0.219,     0.023,     0.323,    15.983,     0.311,     0.268,     0.311,     0.685,     9.021,     4.720,     0.005,     0.000,     5.750,
      q15 vectorwise,   354.551,     1.000,     3.072,     3.244,   256.145,   191.356,     0.203,     0.022,     0.446,   587.821,     0.217,     0.248,     0.217,   102.846,   227.262,     6.757,     0.005,     0.000,    58.982,
      q17 hyper     ,   261.515,     1.000,     1.381,     2.652,  3185.922,    56.832,     0.448,     0.005,     3.324,    78.500,     0.301,     1.119,     0.301,    10.367,    33.889,    13.630,     0.001,     0.000,    21.432,
      q17 vectorwise,  7434.906,     1.000,     3.025,     3.232,   104.955,  1968.872,     0.412,     0.009,     2.573,  5954.862,     0.577,     1.048,     0.577,  1172.651,  2333.115,    88.452,     0.002,     0.000,   609.269,

############################################
### vectorSize=8
############################################
                name,      time,      CPUs,       IPC,       GHz, Bandwidth,    cycles,LLC-misses,LLC-misses2, l1-misses,    instr.,br. misses,    all_rd,br. misses,    stores,     loads, mem_stall,local_dram,remote_dram,task-clock,
       q4 hyper     ,   186.412,     1.000,     0.895,     2.715,  2455.374,    67.481,     0.411,     0.056,     1.651,    60.370,     0.692,     1.000,     0.692,     7.797,    24.804,    21.027,     0.013,     0.000,    24.853,
       q4 vectorwise,  1100.263,     1.000,     2.764,     3.154,   368.449,   462.579,     0.436,     0.067,     2.013,  1278.736,     0.902,     0.885,     0.902,   244.449,   492.990,    35.943,     0.016,     0.000,   146.673,
       q5 hyper     ,    53.736,     1.000,     1.157,     3.113,  2697.210,    21.834,     0.086,     0.010,     0.486,    25.265,     0.193,     0.310,     0.193,     0.147,     8.447,     6.730,     0.002,     0.000,     7.015,
       q5 vectorwise,    86.555,     1.000,     1.896,     3.164,  1486.571,    35.749,     0.085,     0.013,     0.476,    67.772,     0.128,     0.275,     0.128,     6.735,    18.240,     7.631,     0.003,     0.000,    11.299,
      q10 hyper     ,    74.983,     1.000,     0.688,     3.141,  2770.450,    30.786,     0.240,     0.035,     0.612,    21.189,     0.371,     0.445,     0.371,     1.409,     9.806,     9.966,     0.007,     0.000,     9.802,
      q10 vectorwise,   160.146,     1.000,     2.072,     3.193,  1237.631,    66.834,     0.231,     0.042,     0.785,   138.492,     0.247,     0.424,     0.247,    24.097,    50.003,    11.832,     0.009,     0.000,    20.932,
